id,part,n,partTitle,question,현재자수,목표자수,추가필요,처리,문단수,keywords,photo,인쇄가능
prologue,0,0,프롤로그,프롤로그 — 혼주메이크업 100문 100답을 만든 이유,1087,1087,0,원문유지,13,,portrait-17,Y
1,1,1,업체 선정 및 예약,왜 '혼주메이크업 전문' 샵을 찾아야 하나요?,843,1000,157,상향,10,혼주 전문|예약|피부|립,salon-08,N
2,1,2,업체 선정 및 예약,공장식 혼주 메이크업이 뭐예요?,922,1000,78,상향,10,공장식|비용|사진,salon-11,Y
p1-03,1,3,업체 선정 및 예약,혼주 메이크업 예약 시 고려할 사항 5가지,1213,1213,0,원문유지,7,출장 메이크업|사전 컨설팅|혼주 전문|예식 당일,salon-09,Y
4,1,4,업체 선정 및 예약,혼주 메이크업 예약 시 짚어야 할 2가지 질문은?,857,1000,143,상향,9,사전 컨설팅|예식 당일|한복 색상|예약,banner-02,Y
5,1,5,업체 선정 및 예약,"예약 업체의 홈페이지, SNS에서 무엇을 확인할까요?",794,1000,206,상향,6,퍼스널 컬러|혼주 전문|예약|한복,banner-01,N
6,1,6,업체 선정 및 예약,'1:1 사전 컨설팅'은 왜 필수인가요?,573,1000,427,상향,5,사전 컨설팅|예식 당일|한복|탈모,hanbok-08,N
7,1,7,업체 선정 및 예약,출장 메이크업과 샵 메이크업의 장단점 비교,1044,1044,0,원문유지,7,출장 메이크업|샵 메이크업|예약|한복,salon-16,N
8,1,8,업체 선정 및 예약,혼주 메이크업 예약 시기는 언제가 적당한가요?,326,1000,674,상향,3,혼주 전문|예약,portrait-01,Y
9,1,9,업체 선정 및 예약,"혼주 메이크업 비용, 적정 가격은?",372,1000,628,상향,3,속눈썹|가격|비용,hanbok-02,Y
10,1,10,업체 선정 및 예약,10만 원대 저렴한 업체 선택이 위험한 이유는?,429,1000,571,상향,5,출장 메이크업|가격|비용,hair-05,Y
11,1,11,업체 선정 및 예약,대형 샵보다 단독룸이 있는 프라이빗 샵이 좋을까요?,294,1000,706,상향,3,긴장|표정,hair-04,Y
12,1,12,업체 선정 및 예약,얼리 예약의 규정,467,1000,533,상향,4,예약|비용,hanbok-06,Y
13,1,13,업체 선정 및 예약,"혼주 따로, 신부 따로 하는 것이 신부에게도 유리한 이유는?",296,1000,704,상향,3,혼주 전문|예식 당일|예약,portrait-22,Y
14,1,14,업체 선정 및 예약,혼주가 직접 업체를 선정하는 것이 유리한 이유는?,325,1000,675,상향,3,예약|비용,portrait-19,Y
15,1,15,업체 선정 및 예약,"양가 혼주, 함께 할까요, 따로 할까요?",494,1000,506,상향,4,사전 컨설팅|예식 당일|사진|표정,hanbok-10,N
16,1,16,업체 선정 및 예약,샵과 웨딩홀 패키지의 차이는?,464,1000,536,상향,5,비용,salon-03,Y
17,1,17,업체 선정 및 예약,10년 이상 경력의 원장이 직접 담당하는 것이 왜 중요한가요?,365,1000,635,상향,4,볼륨|피부|조명,hair-02,Y
18,1,18,업체 선정 및 예약,합법적인 업체인지 확인하는 방법은?,502,1000,498,상향,5,출장 메이크업|예약,hair-19,N
19,1,19,업체 선정 및 예약,"예약 확정 전, 취소 및 환불 규정 확인",521,1000,479,상향,5,예식 당일|예약|비용,hanbok-07,Y
20,2,1,사전 컨설팅 및 준비,사전 컨설팅은 왜 필수인가요?,601,1000,399,상향,4,사전 컨설팅|퍼스널 컬러|예식 당일|한복 색상,hair-03,Y
21,2,2,사전 컨설팅 및 준비,왜 결혼식 당일에는 충분한 상담이 어려운가요?,462,1000,538,상향,5,예식 당일|예약|사진,salon-14,N
22,2,3,사전 컨설팅 및 준비,예식 당일과 사전 상담의 결과는 어떻게 다른가요?,443,1000,557,상향,4,예식 당일|피부|사진,hair-15,Y
23,2,4,사전 컨설팅 및 준비,사전 컨설팅 시 준비할 게 있나요?,515,1000,485,상향,5,사전 컨설팅|퍼스널 컬러|예식 당일|한복,accessory-04,Y
24,2,5,사전 컨설팅 및 준비,미리 헤어스타일링을 시연해 보는 안심 서비스의 만족도는?,340,1000,660,상향,4,올림머리|한복|볼륨,hair-14,Y
25,2,6,사전 컨설팅 및 준비,원하는 메이크업·헤어 사진을 가져가면 도움이 되나요?,502,1000,498,상향,5,사진|립,hair-10,Y
26,2,7,사전 컨설팅 및 준비,사전 컨설팅을 대신할 방법은?,364,1000,636,상향,3,사전 컨설팅|예식 당일|가발|피부,salon-12,Y
27,2,8,사전 컨설팅 및 준비,아버지도 동행하나요?,363,1000,637,상향,3,사전 컨설팅|예식 당일,portrait-29,Y
28,3,1,혼주 메이크업 (혼주화장),평소 화장을 안 하는데 너무 진해 보이지 않을까요?,532,1000,468,상향,5,혼주 전문|피부|동안,portrait-12,Y
29,3,2,혼주 메이크업 (혼주화장),왜 혼주화장은 그렇게 오래 걸려요?,402,1000,598,상향,3,가발|볼륨|피부|주름,salon-01,Y
30,3,3,혼주 메이크업 (혼주화장),혼주 메이크업 전 피해야 할 시술은?,418,1000,582,상향,4,피부|표정,salon-10,Y
31,3,4,혼주 메이크업 (혼주화장),하루 종일 무너지지 않고 잘 유지되나요?,429,1000,571,상향,3,피부,portrait-03,Y
32,3,5,혼주 메이크업 (혼주화장),혼주 메이크업을 위한 피부 관리는?,942,1000,58,상향,6,예식 당일|베이스|피부|주름,accessory-01,Y
33,3,6,혼주 메이크업 (혼주화장),안경을 착용하는데요?,548,1000,452,상향,3,예식 당일|속눈썹|한복|피부,portrait-14,Y
34,3,7,혼주 메이크업 (혼주화장),"예식 당일 아침, 세안 후 무엇을 바르나요?",338,1000,662,상향,3,예식 당일|피부,portrait-25,Y
35,3,8,혼주 메이크업 (혼주화장),눈썹을 정리해주나요? (눈썹문신포함),823,1000,177,상향,8,립,portrait-33,N
37,3,9,혼주 메이크업 (혼주화장),처진 눈꺼풀인데 눈이 커 보이고 싶어요,355,1000,645,상향,3,사진,portrait-31,N
38,3,10,혼주 메이크업 (혼주화장),쌍꺼풀 테이프나 액을 사용해도 되나요?,487,1000,513,상향,3,사진|표정|립,portrait-28,N
39,3,11,혼주 메이크업 (혼주화장),속눈썹도 붙여 주나요?,542,1000,458,상향,4,속눈썹|립,portrait-26,Y
40,3,12,혼주 메이크업 (혼주화장),"홍조와 기미, 잡티가 많아요",903,1000,97,상향,7,피부|잡티|주름|동안,portrait-15,Y
41,3,13,혼주 메이크업 (혼주화장),"립스틱 색, 평소 사용하던 립스틱 가져가도 되나요?",883,1000,117,상향,4,퍼스널 컬러|한복|피부|립,portrait-08,N
42,3,14,혼주 메이크업 (혼주화장),눈물이 날 것 같은데 걱정이에요,402,1000,598,상향,3,속눈썹|한복,portrait-23,Y
43,3,15,혼주 메이크업 (혼주화장),얼굴에 흉터가 있어요,412,1000,588,상향,3,사전 컨설팅|피부|립,portrait-13,Y
44,3,16,혼주 메이크업 (혼주화장),팔자 주름도 가려지나요?,445,1000,555,상향,3,베이스|피부|주름,portrait-20,Y
45,3,17,혼주 메이크업 (혼주화장),땀이 많이 나는데 지워지지 않을까요?,634,1000,366,상향,5,사전 컨설팅|예식 당일|베이스|피부,portrait-09,Y
46,3,18,혼주 메이크업 (혼주화장),젊어 보이는 혼주 화장 하고 싶어요,467,1000,533,상향,5,퍼스널 컬러|한복|피부|동안,portrait-24,Y
47,3,19,혼주 메이크업 (혼주화장),"얼굴이 커요, 작아질 수 있나요?",690,1000,310,상향,5,사전 컨설팅|볼륨|사진|영상,portrait-16,Y
48,3,20,혼주 메이크업 (혼주화장),드레스나 정장 메이크업은 달라요?,423,1000,577,상향,3,드레스|한복|피부|정장,hair-32,Y
49,3,21,혼주 메이크업 (혼주화장),결혼식 장소마다 메이크업이 다르던데요?,609,1000,391,상향,5,베이스|피부|주름|사진,hanbok-12,N
50,3,22,혼주 메이크업 (혼주화장),아버지 혼주 메이크업을 꼭 해야 하나요?,464,1000,536,상향,3,피부|잡티,portrait-10,Y
51,3,23,혼주 메이크업 (혼주화장),너무 평범한 것보다는 저만의 개성을 살리고 싶어요,420,1000,580,상향,4,사전 컨설팅|립,hair-11,Y
52,3,24,혼주 메이크업 (혼주화장),혼주 이미지를 달리할 수 있다던데요?,264,1000,736,상향,4,,portrait-27,N
53,4,1,혼주 헤어스타일,한복에는 반드시 올림머리(업스타일)를 해야 하나요?,373,1000,627,상향,3,올림머리|업스타일|한복|볼륨,hair-13,Y
54,4,2,혼주 헤어스타일,짧은 커트 머리도 올림머리가 가능한가요?,349,1000,651,상향,3,사전 컨설팅|올림머리|가발|볼륨,hair-24,N
55,4,3,혼주 헤어스타일,단발머리로 올림머리를 하려면?,332,1000,668,상향,3,올림머리|업스타일|가발|단발,hair-16,N
56,4,4,혼주 헤어스타일,"짧거나 숱 없는 머리 도우미, '가발(달비)' 사용의 비밀",580,1000,420,상향,3,혼주 전문|올림머리|가발|볼륨,hair-17,Y
57,4,5,혼주 헤어스타일,내 머리색과 가발색이 다르면 어떡하죠?,301,1000,699,상향,3,사전 컨설팅|가발,hair-27,N
58,4,6,혼주 헤어스타일,평소 사용하던 가발을 가져가도 되나요?,164,1000,836,상향,2,가발|볼륨,hair-22,Y
59,4,7,혼주 헤어스타일,둥근 얼굴형에 맞는 헤어스타일은?,342,1000,658,상향,3,볼륨,hair-29,N
60,4,8,혼주 헤어스타일,긴 얼굴형에 맞는 헤어스타일은?,307,1000,693,상향,3,볼륨,portrait-32,N
61,4,9,혼주 헤어스타일,"로우 번, 미들 번, 하이 번 — 나에게 어울리는 위치는?",394,1000,606,상향,4,한복|립,hair-01,Y
62,4,10,혼주 헤어스타일,"이마를 드러내는 게 부담스러워요, 앞머리 연출법은?",406,1000,594,상향,3,사전 컨설팅|한복|주름,portrait-30,Y
63,4,11,혼주 헤어스타일,머리는 (앞머리포함) 어디까지 길러야해요?,489,1000,511,상향,4,,hair-18,N
64,4,12,혼주 헤어스타일,정수리 탈모가 걱정인데요?,558,1000,442,상향,4,사전 컨설팅|혼주 전문|예식 당일|예약,salon-06,N
65,4,13,혼주 헤어스타일,빈약한 정수리 볼륨을 짱짱하게 살리는 노하우,308,1000,692,상향,4,볼륨,salon-04,Y
66,4,14,혼주 헤어스타일,땀이 많은 혼주를 위한 헤어 고정법,362,1000,638,상향,3,볼륨|피부|긴장|립,salon-13,Y
67,4,15,혼주 헤어스타일,비대칭 얼굴형을 보완하는 헤어 가르마 방향,309,1000,691,상향,3,사전 컨설팅,hair-25,Y
68,4,16,혼주 헤어스타일,"뒷목 아래 잔머리가 많아요, 올림머리하면 보일 텐데…",338,1000,662,상향,3,올림머리|한복,salon-05,N
69,4,17,혼주 헤어스타일,한복 헤어에서 '젊음'과 '올드함'의 한 끗 차이,331,1000,669,상향,3,한복|볼륨,hair-07,Y
70,4,18,혼주 헤어스타일,뒤꽂이(헤어 장식)는 꼭 준비해야 하나요?,248,1000,752,상향,2,올림머리|한복|표정|립,hair-30,N
71,4,19,혼주 헤어스타일,뒤꽂이 선택 잘하려면? (저고리 색상과 뒤꽂이 색상 맞추는 법),801,1000,199,상향,5,사전 컨설팅|예식 당일|올림머리|한복,hair-28,Y
72,4,20,혼주 헤어스타일,목이 짧은 편인데 어떤 헤어 스타일이 좋을까요?,248,1000,752,상향,2,한복,hair-08,Y
73,4,21,혼주 헤어스타일,가발 사용 시 추가 비용이 발생하나요?,333,1000,667,상향,3,혼주 전문|비용|가발,hair-20,N
74,4,22,혼주 헤어스타일,염색과 퍼머는 언제 하나요?,405,1000,595,상향,2,볼륨,salon-02,Y
76,4,23,혼주 헤어스타일,커트는 예식 며칠 전에 하는 게 적당한가요?,173,1000,827,상향,2,올림머리|한복,hair-23,Y
77,4,24,혼주 헤어스타일,"혼주 헤어 컬러, 어떤 색이 세련돼 보여요?",294,1000,706,상향,3,퍼스널 컬러|한복|피부,hair-09,Y
78,4,25,혼주 헤어스타일,결혼식 당일 샴푸와 린스 사용에 대해,413,1000,587,상향,3,볼륨|립,hair-26,Y
